Unnamed: 0,Player,height,weight,collage,born,birth_city,birth_state,height_m,bmi
619,Rod Thorn,193.0,88.0,West Virginia University,1941.0,Princeton,West Virginia,1.93,23.624795296518027
620,Nate Thurmond*,211.0,102.0,Bowling Green State University,1941.0,Akron,Ohio,2.11,22.910536600705285
621,Gerry Ward,193.0,88.0,Boston College,1941.0,,,1.93,23.624795296518027
622,John Windsor,203.0,97.0,Stanford University,1940.0,,,2.03,23.538547404693155
623,Jim Barnes,203.0,95.0,University of Texas at El Paso,1941.0,Tuckerman,Arkansas,2.03,23.053216530369586
624,Ron Bonham,196.0,87.0,University of Cincinnati,1942.0,Muncie,Indiana,1.96,22.646813827571847
625,Gary Bradds,203.0,95.0,Ohio State University,1942.0,Jamestown,Ohio,2.03,23.053216530369586
626,Em Bryant,185.0,79.0,DePaul University,1938.0,Chicago,Illinois,1.85,23.08254200146092
627,Joe Caldwell,196.0,88.0,Arizona State University,1941.0,Texas City,Texas,1.96,22.907122032486466
628,Mel Counts,213.0,104.0,Oregon State University,1941.0,Coos Bay,Oregon,2.13,22.923141352024516
629,Steve Courtin,185.0,85.0,Saint Joseph's University,1942.0,,,1.85,24.835646457268076
630,Jerry Grote,193.0,97.0,Loyola Marymount University,1940.0,,,1.93,26.040967542752828
631,Happy Hairston,201.0,102.0,New York University,1942.0,Winston-Salem,North Carolina,2.01,25.246899829212154
632,Walt Hazzard,201.0,102.0,,1942.0,,,2.01,25.246899829212154
633,Les Hunter,201.0,95.0,Loyola University of Chicago,1942.0,Nashville,Tennessee,2.01,23.514269448776027
634,Luke Jackson,206.0,108.0,University of Texas-Pan American,1941.0,San Marcos,Texas,2.06,25.45008954661137
635,Larry Jones,188.0,81.0,University of Toledo,1942.0,Columbus,Ohio,1.88,22.917609778180175
636,Wali Jones,193.0,102.0,University of Kentucky,1926.0,Harlan,Kentucky,1.93,27.383285457327716
637,Howard Komives,185.0,83.0,Bowling Green State University,1941.0,Toledo,Ohio,1.85,24.251278305332356
638,Bud Koper,198.0,95.0,Oklahoma City University,1942.0,Rocky,Oklahoma,1.98,24.232221201918172
639,Barry Kramer,193.0,90.0,New York University,1942.0,Schenectady,New York,1.93,24.161722462347985
640,McCoy McLemore,201.0,104.0,Drake University,1942.0,Houston,Texas,2.01,25.741937080765336
641,Jeff Mullins,193.0,86.0,Duke University,1942.0,Astoria,New York,1.93,23.087868130688072
642,Cotton Nash,196.0,97.0,University of Kentucky,1942.0,Jersey City,New Jersey,1.96,25.249895876718035
643,Willis Reed*,206.0,106.0,Grambling State University,1942.0,Hico,Louisiana,2.06,24.97879159204449
644,Paul Silas,201.0,99.0,Creighton University,1943.0,Prescott,Arkansas,2.01,24.504343951882387
645,John Thompson*,208.0,102.0,Providence College,1941.0,Washington,District of Columbia,2.08,23.57618343195266
646,John Tresvant,201.0,97.0,Seattle University,1939.0,,,2.01,24.009306700329205
647,George Wilson,203.0,102.0,University of Cincinnati,1942.0,Meridian,Mississippi,2.03,24.75187459050208
648,Rick Barry*,201.0,92.0,University of Miami,1944.0,Elizabeth,New Jersey,2.01,22.771713571446256
